,0
0,Arizona
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Hawaii
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Massachusetts
15,Michigan
16,Minnesota
17,Mississippi
18,Missouri
19,Montana
20,New Hampshire
21,New Jersey
22,New Mexico
23,New York
24,North Carolina
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Carolina
31,South Dakota
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,Washington
38,West Virginia
39,Wyoming
